dvv(%),GWL change (m)
-0.7798091282434199, 1.494558521560575
-0.7745379876796712, 1.3882956878850101
-0.7336288967705804, 1.3882956878850101
-0.6977284394250511, 1.317453798767967
-0.6515797087922344, 1.2324435318275153
-0.5849449318648496, 1.1261806981519507
-0.5079988799701325, 0.9632443531827515
-0.45673651297367934, 0.8782340862422998
-0.4055056468172482, 0.814476386036961
-0.35421177898077283, 0.7082135523613964
-0.30807354862796354, 0.630287474332649
-0.1901869049841327, 0.4460985626283367
-0.13377940078402117, 0.33983572895277203
-0.026109529587455604, 0.1485626283367556
0.03541161097629297, 0.04229979466119094
0.09686974985999619, -0.021457905544147726
0.14301848049281318, -0.1064681724845995
0.19943648497293287, -0.21981519507186853
0.2660922624603326, -0.34024640657084193
0.31739663057681566, -0.4535934291581105
0.3891345435878293, -0.5527720739219713
0.43527277394063857, -0.6306981519507184
0.5070526880716817, -0.7582135523613962
0.5634706925518018, -0.8715605749486652
0.6249708325555354, -0.9636550308008212
0.6762436998319958, -1.055749486652977
0.7326512040321078, -1.1620123203285417
0.809544754526788, -1.2895277207392195
0.8556724845995896, -1.3603696098562628
0.9375956692178464, -1.431211498973306
